iter	Passed	Remaining
0	346	345664
1	688	343680
2	1005	334043
3	1337	332942
4	1635	325399
5	1945	322320
6	2275	322777
7	2594	321705
8	2911	320553
9	3211	317971
10	3464	311478
11	3519	289751
12	3864	293442
13	3961	279002
14	4273	280655
15	4581	281788
16	4840	279913
17	5157	281395
18	5463	282083
19	5613	275076
20	5902	275154
21	6249	277804
22	6572	279193
23	6890	280228
24	7244	282532
25	7598	284669
26	7899	284682
27	8245	286236
28	8561	286669
29	8894	287592
30	9278	290023
31	9618	290968
32	9947	291494
33	10336	293683
34	10711	295337
35	11058	296127
36	11231	292320
37	11603	293741
38	11957	294649
39	12304	295315
40	12684	296697
41	13032	297269
42	13394	298111
43	13743	298615
44	14139	300076
45	14525	301240
46	14865	301417
47	15178	301039
48	15500	300844
49	15808	300359
50	16117	299916
51	16439	299702
52	16773	299715
53	17103	299627
54	17407	299097
55	17697	298336
56	17995	297711
57	18313	297439
58	18644	297365
59	18983	297413
60	19302	297130
61	19610	296689
62	19724	293368
63	20031	292957
64	20332	292473
65	20655	292311
66	20972	292048
67	21159	290016
68	21445	289354
69	21768	289212
70	22132	289594
71	22513	290177
72	22929	291170
73	23325	291881
74	23499	289831
75	23843	289892
76	24177	289814
77	24512	289750
78	24840	289597
79	25176	289534
80	25482	289120
81	25828	289154
82	26145	288855
83	26482	288780
84	26806	288559
85	27123	288265
86	27488	288474
87	27807	288190
88	28136	288006
89	28446	287623
90	28783	287522
91	28991	286129
92	29307	285828
93	29591	285208
94	29846	284331
95	30130	283731
96	30339	282439
97	30655	282151
98	30994	282077
99	31324	281922
100	31667	281869
101	31950	281288
102	32278	281108
103	32573	280629
104	32890	280354
105	33233	280289
106	33566	280135
107	33870	279744
108	34161	279243
109	34477	278956
110	34771	278482
111	35094	278252
112	35440	278190
113	35747	277827
114	36019	277196
115	36340	276943
116	36649	276595
117	36921	275972
118	37213	275507
119	37527	275198
120	37838	274878
121	38165	274667
122	38465	274258
123	38769	273884
124	39074	273518
125	39438	273564
126	39771	273392
127	40119	273310
128	40441	273058
129	40732	272597
130	41057	272359
131	41381	272115
132	41683	271726
133	42011	271505
134	42341	271296
135	42678	271132
136	43028	271047
137	43327	270640
138	43647	270360
139	43944	269947
140	44287	269809
141	44600	269489
142	44932	269280
143	45243	268947
144	45550	268589
145	45854	268218
146	46162	267866
147	46440	267346
148	46747	266995
149	47065	266702
150	47343	266188
151	47623	265689
152	47925	265310
153	48251	265069
154	48549	264673
155	48864	264370
156	49184	264091
157	49443	263487
158	49797	263392
159	50148	263278
160	50454	262925
161	50731	262423
162	51060	262191
163	51352	261774
164	51648	261374
165	51938	260946
166	52279	260771
167	52597	260482
168	52912	260176
169	53212	259804
170	53496	259349
171	53817	259074
172	54131	258767
173	54436	258418
174	54757	258140
175	55074	257847
176	55366	257437
177	55703	257235
178	56021	256946
179	56325	256594
180	56657	256368
181	56988	256133
182	57302	255825
183	57621	255538
184	57933	255221
185	58226	254818
186	58521	254427
187	58835	254120
188	59166	253885
189	59463	253503
190	59778	253197
191	60117	252994
192	60432	252688
193	60813	252656
194	61117	252307
195	61434	252006
196	61759	251740
197	62074	251432
198	62354	250986
199	62673	250694
200	62979	250350
201	63290	250027
202	63585	249644
203	63922	249424
204	64289	249315
205	64686	249326
206	65029	249122
207	65388	248978
208	65717	248721
209	66029	248397
210	66348	248099
211	66676	247833
212	66991	247523
213	67329	247294
214	67660	247039
215	67991	246782
216	68306	246470
217	68641	246226
218	68975	245981
219	69288	245658
220	69585	245280
221	69935	245088
222	70297	244936
223	70685	244873
224	71048	244722
225	71393	244506
226	71748	244323
227	72168	244358
228	72552	244269
229	72927	244147
230	73325	244099
231	73699	243970
232	74070	243829
233	74410	243582
234	74758	243362
235	75078	243050
236	75386	242700
237	75723	242441
238	76056	242173
239	76338	241739
240	76681	241499
241	76987	241141
242	77292	240782
243	77620	240497
244	77936	240172
245	78267	239893
246	78555	239484
247	78877	239175
248	79212	238909
249	79553	238659
250	79862	238314
251	80157	237928
252	80478	237617
253	80807	237331
254	81218	237285
255	81550	237007
256	81899	236774
257	82281	236638
258	82674	236531
259	83016	236277
260	83366	236046
261	83714	235806
262	84026	235466
263	84359	235184
264	84700	234923
265	85043	234669
266	85358	234335
267	85691	234053
268	86020	233757
269	86356	233483
270	86678	233168
271	86994	232837
272	87349	232613
273	87695	232361
274	88013	232035
275	88306	231644
276	88668	231435
277	88982	231099
278	89344	230887
279	89653	230537
280	89971	230212
281	90313	229947
282	90664	229703
283	90995	229410
284	91361	229205
285	91704	228939
286	92019	228605
287	92372	228364
288	92749	228184
289	93118	227980
290	93447	227677
291	93840	227531
292	94159	227203
293	94493	226912
294	94838	226647
295	95136	226270
296	95418	225855
297	95731	225514
298	96036	225155
299	96386	224901
300	96718	224606
301	97011	224217
302	97336	223906
303	97627	223515
304	97932	223157
305	98246	222821
306	98623	222625
307	98935	222283
308	99241	221927
309	99570	221624
310	99866	221247
311	100173	220896
312	100469	220519
313	100794	220207
314	101116	219888
315	101430	219552
316	101743	219213
317	102036	218833
318	102342	218479
319	102602	218030
320	102949	217766
321	103297	217501
322	103646	217241
323	103993	216973
324	104323	216671
325	104657	216378
326	104993	216087
327	105276	215687
328	105594	215360
329	105887	214984
330	106206	214658
331	106587	214459
332	106923	214167
333	107252	213863
334	107571	213536
335	107853	213139
336	108181	212830
337	108468	212443
338	108754	212054
339	109076	211735
340	109351	211327
341	109658	210979
342	109959	210621
343	110273	210289
344	110589	209959
345	110905	209630
346	111214	209289
347	111523	208945
348	111836	208611
349	112138	208257
350	112473	207963
351	112730	207527
352	113094	207286
353	113425	206985
354	113732	206641
355	114038	206294
356	114328	205920
357	114646	205594
358	114970	205281
359	115283	204949
360	115586	204598
361	115914	204291
362	116209	203926
363	116485	203529
364	116786	203175
365	117096	202838
366	117388	202470
367	117701	202139
368	117998	201781
369	118336	201492
370	118668	201192
371	118958	200822
372	119274	200496
373	119589	200167
374	119905	199842
375	120250	199564
376	120538	199192
377	120841	198845
378	121221	198624
379	121577	198362
380	121903	198053
381	122226	197738
382	122554	197430
383	122842	197059
384	123167	196747
385	123489	196430
386	123802	196100
387	124144	195816
388	124474	195510
389	124771	195155
390	125110	194865
391	125406	194508
392	125691	194134
393	125992	193785
394	126295	193440
395	126554	193028
396	126840	192656
397	127096	192241
398	127423	191933
399	127755	191633
400	128071	191308
401	128389	190987
402	128710	190670
403	128983	190282
404	129308	189972
405	129636	189664
406	129945	189331
407	130275	189026
408	130612	188733
409	130960	188455
410	131315	188186
411	131654	187895
412	131984	187590
413	132311	187280
414	132657	186998
415	133042	186771
416	133372	186465
417	133663	186105
418	133963	185758
419	134269	185420
420	134598	185112
421	134912	184785
422	135228	184460
423	135518	184101
424	135815	183750
425	136126	183419
426	136443	183096
427	136771	182787
428	137096	182476
429	137427	182171
430	137763	181873
431	138063	181528
432	138375	181197
433	138693	180876
434	139023	180570
435	139340	180247
436	139644	179908
437	139974	179601
438	140332	179331
439	140634	178989
440	140983	178707
441	141298	178381
442	141673	178131
443	142100	177945
444	142561	177801
445	142949	177565
446	143442	177457
447	143907	177314
448	144332	177121
449	144762	176932
450	145117	176650
451	145445	176336
452	145820	176079
453	146170	175790
454	146567	175559
455	146871	175215
456	147169	174864
457	147512	174567
458	147822	174230
459	148120	173880
460	148453	173570
461	148765	173237
462	149140	172977
463	149488	172684
464	149834	172389
465	150176	172090
466	150473	171739
467	150792	171413
468	151089	171062
469	151420	170751
470	151734	170419
471	152051	170091
472	152381	169778
473	152693	169445
474	153000	169105
475	153305	168764
476	153660	168478
477	153970	168143
478	154271	167798
479	154563	167443
480	154856	167090
481	155153	166741
482	155449	166391
483	155752	166050
484	156117	165773
485	156417	165428
486	156694	165059
487	157013	164735
488	157307	164384
489	157608	164041
490	157907	163696
491	158221	163367
492	158508	163010
493	158828	162686
494	159154	162369
495	159439	162010
496	159739	161668
497	160034	161319
498	160327	160970
499	160617	160617
500	160902	160259
501	161195	159911
502	161500	159574
503	161804	159236
504	162088	158879
505	162414	158563
506	162744	158250
507	163081	157944
508	163336	157559
509	163646	157229
510	163972	156912
511	164320	156617
512	164618	156275
513	164949	155964
514	165230	155605
515	165515	155250
516	165826	154920
517	166161	154613
518	166519	154327
519	166841	154007
520	167173	153697
521	167472	153355
522	167802	153043
523	168114	152714
524	168433	152391
525	168742	152060
526	169057	151734
527	169382	151417
528	169726	151117
529	170030	150781
530	170355	150464
531	170669	150137
532	170967	149797
533	171272	149462
534	171582	149132
535	171867	148780
536	172137	148416
537	172415	148058
538	172714	147720
539	173001	147371
540	173299	147032
541	173583	146681
542	173867	146330
543	174148	145977
544	174447	145639
545	174708	145270
546	175003	144930
547	175257	144555
548	175553	144215
549	175854	143880
550	176155	143546
551	176450	143206
552	176738	142861
553	177034	142522
554	177319	142174
555	177627	141846
556	177916	141502
557	178211	141164
558	178493	140815
559	178776	140466
560	179084	140139
561	179384	139805
562	179667	139457
563	179941	139103
564	180247	138774
565	180555	138447
566	180879	138131
567	181197	137811
568	181445	137439
569	181722	137089
570	182001	136740
571	182303	136409
572	182626	136093
573	182920	135756
574	183221	135424
575	183527	135096
576	183811	134752
577	184088	134404
578	184450	134117
579	184741	133778
580	185052	133454
581	185374	133138
582	185680	132811
583	186009	132499
584	186303	132163
585	186629	131850
586	186949	131533
587	187271	131217
588	187587	130897
589	187885	130564
590	188187	130234
591	188468	129890
592	188733	129535
593	189013	129190
594	189315	128861
595	189607	128525
596	189878	128176
597	190201	127861
598	190543	127559
599	190845	127230
600	191170	126916
601	191483	126595
602	191783	126265
603	192112	125954
604	192438	125641
605	192760	125326
606	193089	125015
607	193402	124693
608	193685	124353
609	193986	124023
610	194300	123703
611	194588	123366
612	194887	123036
613	195228	122733
614	195511	122393
615	195788	122049
616	196101	121729
617	196391	121394
618	196670	121052
619	196965	120720
620	197254	120385
621	197540	120048
622	197836	119718
623	198135	119389
624	198430	119058
625	198726	118727
626	199047	118412
627	199374	118100
628	199702	117789
629	200020	117472
630	200367	117172
631	200680	116851
632	200993	116531
633	201292	116203
634	201623	115894
635	201974	115595
636	202311	115288
637	202646	114981
638	202951	114656
639	203256	114331
640	203579	114017
641	203898	113700
642	204198	113372
643	204507	113050
644	204818	112729
645	205127	112407
646	205425	112079
647	205684	111730
648	205973	111396
649	206246	111055
650	206532	110721
651	206809	110383
652	207085	110043
653	207369	109709
654	207697	109398
655	207989	109067
656	208257	108725
657	208552	108396
658	208824	108056
659	209113	107724
660	209405	107395
661	209697	107066
662	210003	106743
663	210286	106410
664	210577	106080
665	210858	105746
666	211168	105426
667	211455	105094
668	211759	104771
669	212011	104423
670	212310	104098
671	212611	103774
672	212884	103437
673	213159	103100
674	213426	102760
675	213726	102436
676	214020	102110
677	214299	101776
678	214595	101450
679	214896	101127
680	215200	100806
681	215514	100488
682	215825	100171
683	216131	99850
684	216433	99528
685	216740	99207
686	217047	98887
687	217388	98583
688	217703	98266
689	217984	97934
690	218298	97618
691	218634	97311
692	218964	97001
693	219253	96673
694	219578	96361
695	219886	96042
696	220200	95725
697	220514	95409
698	220824	95090
699	221137	94773
700	221443	94453
701	221751	94133
702	222073	93820
703	222365	93494
704	222656	93168
705	222951	92843
706	223258	92524
707	223591	92215
708	223884	91890
709	224132	91546
710	224421	91220
711	224743	90907
712	225084	90602
713	225375	90276
714	225659	89948
715	225941	89619
716	226245	89299
717	226543	88976
718	226852	88658
719	227083	88310
720	227359	87979
721	227673	87663
722	227979	87344
723	228277	87022
724	228551	86691
725	228803	86352
726	229074	86021
727	229336	85685
728	229634	85364
729	229959	85053
730	230273	84738
731	230586	84422
732	230879	84099
733	231222	83794
734	231544	83482
735	231863	83168
736	232185	82855
737	232528	82550
738	232811	82224
739	233141	81914
740	233461	81601
741	233778	81286
742	234088	80970
743	234387	80649
744	234700	80333
745	235010	80016
746	235329	79703
747	235625	79381
748	235940	79066
749	236243	78747
750	236540	78426
751	236898	78126
752	237191	77803
753	237492	77484
754	237802	77167
755	238100	76847
756	238379	76520
757	238647	76190
758	238945	75870
759	239258	75555
760	239559	75236
761	239842	74911
762	240134	74589
763	240424	74267
764	240696	73939
765	240988	73617
766	241286	73298
767	241589	72980
768	241897	72663
769	242163	72334
770	242464	72016
771	242742	71690
772	242987	71355
773	243286	71037
774	243623	70729
775	243916	70408
776	244195	70084
777	244491	69765
778	244787	69445
779	245078	69124
780	245373	68805
781	245667	68485
782	245950	68162
783	246263	67848
784	246557	67528
785	246865	67212
786	247173	66897
787	247511	66589
788	247802	66269
789	248092	65948
790	248421	65638
791	248735	65324
792	249040	65008
793	249344	64691
794	249663	64378
795	249934	64053
796	250266	63744
797	250627	63441
798	250992	63140
799	251313	62828
800	251676	62526
801	251995	62213
802	252314	61900
803	252646	61590
804	252971	61278
805	253284	60964
806	253613	60653
807	253911	60335
808	254214	60018
809	254512	59700
810	254814	59383
811	255121	59067
812	255419	58749
813	255715	58431
814	255979	58105
815	256239	57779
816	256513	57456
817	256800	57136
818	257094	56818
819	257398	56502
820	257672	56179
821	257975	55863
822	258270	55545
823	258537	55221
824	258819	54901
825	259113	54583
826	259391	54262
827	259716	53950
828	259987	53628
829	260265	53307
830	260571	52992
831	260857	52673
832	261151	52355
833	261460	52041
834	261766	51726
835	262139	51424
836	262465	51113
837	262784	50800
838	263128	50493
839	263440	50179
840	263729	49860
841	264064	49551
842	264407	49243
843	264763	48937
844	265077	48623
845	265400	48311
846	265712	47997
847	266033	47685
848	266341	47370
849	266648	47055
850	266944	46738
851	267253	46424
852	267564	46110
853	267837	45789
854	268125	45471
855	268408	45152
856	268706	44836
857	268937	44509
858	269208	44189
859	269505	43873
860	269787	43554
861	270094	43240
862	270366	42920
863	270644	42601
864	270947	42286
865	271255	41972
866	271552	41656
867	271860	41342
868	272158	41027
869	272432	40708
870	272732	40393
871	273050	40080
872	273349	39765
873	273621	39446
874	273955	39136
875	274221	38816
876	274481	38496
877	274782	38181
878	275063	37864
879	275364	37549
880	275626	37229
881	275921	36914
882	276236	36602
883	276557	36290
884	276874	35978
885	277184	35664
886	277552	35358
887	277883	35048
888	278209	34737
889	278549	34427
890	278883	34117
891	279229	33808
892	279534	33494
893	279808	33176
894	280128	32864
895	280496	32557
896	280853	32249
897	281183	31938
898	281510	31626
899	281800	31311
900	282147	31001
901	282485	30691
902	282807	30379
903	283122	30066
904	283418	29751
905	283700	29434
906	284005	29120
907	284306	28806
908	284582	28489
909	284881	28175
910	285177	27860
911	285485	27546
912	285764	27230
913	286048	26914
914	286336	26599
915	286641	26285
916	286937	25971
917	287257	25659
918	287559	25345
919	287861	25031
920	288161	24717
921	288480	24405
922	288748	24088
923	289047	23774
924	289341	23460
925	289613	23144
926	289919	22830
927	290203	22515
